"method","n_states","n_t","time","memory"
"cohort trace",7,972,0.0120000000028085,402352
"cohort trace",7,984,0.0109999999993306,407056
"cohort trace",7,996,0.0110000000033324,411760
"cohort trace",7,1008,0.00899999999799092,416464
"cohort trace",7,1020,0.0120000000017171,421168
"cohort trace",7,1032,0.00799999999924807,425872
"cohort trace",7,1044,0.00300000000024739,430576
"cohort trace",7,1056,0.00899999999924148,435280
"cohort trace",7,1068,0.00800000000199361,439984
"cohort trace",7,1080,0.0110000000025593,444688
"cohort trace",7,1092,0.00699999999919783,449392
"cohort trace",7,1104,0.00499999999863689,454096
"cohort trace",7,1116,0.00599999999940337,458800
"cohort trace",7,1128,0.0140000000013515,463504
"cohort trace",7,1140,0.0100000000000193,468208
"cohort trace",7,1152,0.00999999999892226,472912
"cohort trace",7,1164,0.00599999999867578,477616
"cohort trace",7,1176,0.00700000000069849,482320
"cohort trace",7,1188,0.00799999999835564,487024
"cohort trace",7,1200,0.0139999999973497,491728
"cohort trace",7,1212,0.0100000000014745,496432
"cohort trace",7,1224,0.0109999999992851,501136
"cohort trace",7,1236,0.0119999999987613,505840
"cohort trace",7,1248,0.0130000000004657,510544
"cohort trace",7,1260,0.0100000000013097,515248
"cohort trace",7,1272,0.0139999999998963,519952
"cohort trace",7,1284,0.00700000000049953,524656
"cohort trace",7,1296,0.00699999999940246,529360
"cohort trace",7,1308,0.0120000000013078,534064
"cohort trace",7,1320,0.0120000000009895,538768
"cohort trace",12,12,0.00999999999985448,184112
"cohort trace",12,24,0.00900000000033287,197936
"cohort trace",12,36,0.0129999999993743,211760
"cohort trace",12,48,0.0090000000030841,225584
"cohort trace",12,60,0.0120000000023992,239408
"cohort trace",12,72,0.0180000000007112,253232
"cohort trace",12,84,0.0129999999978793,267056
"cohort trace",12,96,0.0119999999973516,280880
"cohort trace",12,108,0.0150000000010323,294704
"cohort trace",12,120,0.0100000000002183,308528
"cohort trace",12,132,0.0119999999996992,322352
"cohort trace",12,144,0.017999999997437,336176
"cohort trace",12,156,0.0120000000013079,350000
"cohort trace",12,168,0.0180000000018026,363824
"cohort trace",12,180,0.0140000000006296,377648
"cohort trace",12,192,0.0140000000004647,391472
"cohort trace",12,204,0.0140000000013515,405296
"cohort trace",12,216,0.0179999999996198,419120
"cohort trace",12,228,0.0169999999997799,432944
"cohort trace",12,240,0.0220000000008042,446768
"cohort trace",12,252,0.0220000000018899,460592
"cohort trace",12,264,0.0200000000056889,474416
"cohort trace",12,276,0.0230000000001155,488240
"cohort trace",12,288,0.0220000000035554,502064
"cohort trace",12,300,0.0219999999987806,515888
"cohort trace",12,312,0.0239999999993472,529712
"cohort trace",12,324,0.0239999999975737,543536
"cohort trace",12,336,0.0210000000003958,557360
"cohort trace",12,348,0.0200000000009652,571184
"cohort trace",12,360,0.0220000000006394,585008
"cohort trace",12,372,0.0209999999996626,598832
"cohort trace",12,384,0.0249999999968395,612656
"cohort trace",12,396,0.0270000000001573,626480
"cohort trace",12,408,0.023999999999387,640304
"cohort trace",12,420,0.023000000001008,654128
"cohort trace",12,432,0.0249999999993918,667952
"cohort trace",12,444,0.0259999999992317,681776
"cohort trace",12,456,0.0259999999999536,695600
"cohort trace",12,468,0.0319999999997208,709424
"cohort trace",12,480,0.0300000000004104,723248
"cohort trace",12,492,0.0269999999997992,737072
"cohort trace",12,504,0.0329999999981112,750896
"cohort trace",12,516,0.0319999999997207,764720
"cohort trace",12,528,0.0329999999988331,778544
"cohort trace",12,540,0.0280000000016173,792368
"cohort trace",12,552,0.0299999999989552,806192
"cohort trace",12,564,0.0379999999976292,820016
"cohort trace",12,576,0.0329999999998847,833840
"cohort trace",12,588,0.0350000000007696,847664
"cohort trace",12,600,0.0349999999985129,861488
"cohort trace",12,612,0.0329999999998847,875312
"cohort trace",12,624,0.0339999999997701,889136
"cohort trace",12,636,0.0350000000006957,902960
"cohort trace",12,648,0.0330000000024711,916784
"cohort trace",12,660,0.0329999999995664,930608
"cohort trace",12,672,0.0390000000011071,944432
"cohort trace",12,684,0.0390000000000157,958256
"cohort trace",12,696,0.0359999999998138,972080
"cohort trace",12,708,0.0409999999982403,985904
"cohort trace",12,720,0.0410000000031687,999728
"cohort trace",12,732,0.0389999999985605,1013552
"cohort trace",12,744,0.0409999999967851,1027376
"cohort trace",12,756,0.0439999999990562,1041200
"cohort trace",12,768,0.0420000000002574,1055024
"cohort trace",12,780,0.0400000000000603,1068848
"cohort trace",12,792,0.0449999999997772,1082672
"cohort trace",12,804,0.0440000000019666,1096496
"cohort trace",12,816,0.0470000000023731,1110320
"cohort trace",12,828,0.0470000000009179,1124144
"cohort trace",12,840,0.0440000000018074,1137968
"cohort trace",12,852,0.0439999999967142,1151792
"cohort trace",12,864,0.0440000000001476,1165616
"cohort trace",12,876,0.0430000000026439,1179440
"cohort trace",12,888,0.0450000000003513,1193264
"cohort trace",12,900,0.0469999999996674,1207088
"cohort trace",12,912,0.0460000000016464,1220912
"cohort trace",12,924,0.0439999999983286,1234736
"cohort trace",12,936,0.046999999996757,1248560
"cohort trace",12,948,0.0460000000031016,1262384
"cohort trace",12,960,0.0489999999987788,1276208
"cohort trace",12,972,0.0459999999978038,1290032
"cohort trace",12,984,0.0459999999980084,1303856
"cohort trace",12,996,0.0490000000000748,1317680
"cohort trace",12,1008,0.052000000000686,1331504
"cohort trace",12,1020,0.0480000000013263,1345328
"cohort trace",12,1032,0.0500000000000739,1359152
"cohort trace",12,1044,0.0509999999991862,1372976
"cohort trace",12,1056,0.0539999999992688,1386800
"cohort trace",12,1068,0.0510000000004368,1400624
"cohort trace",12,1080,0.0469999999980075,1414448
"cohort trace",12,1092,0.0540000000003204,1428272
"cohort trace",12,1104,0.0530000000022994,1442096
"cohort trace",12,1116,0.0619999999985169,1455920
"cohort trace",12,1128,0.053000000001407,1469744
"cohort trace",12,1140,0.052000000000686,1483568
"cohort trace",12,1152,0.0569999999976972,1497392
"cohort trace",12,1164,0.0550000000003649,1511216
"cohort trace",12,1176,0.0579999999964059,1525040
"cohort trace",12,1188,0.0550000000008879,1538864
"cohort trace",12,1200,0.0599999999998829,1552688
"cohort trace",12,1212,0.0579999999996801,1566512
"cohort trace",12,1224,0.0590000000000828,1580336
"cohort trace",12,1236,0.0620000000001312,1594160
"cohort trace",12,1248,0.0610000000002913,1607984
"cohort trace",12,1260,0.0640000000016301,1621808
"cohort trace",12,1272,0.0599999999982686,1635632
"cohort trace",12,1284,0.0629999999992435,1649456
"cohort trace",12,1296,0.0620000000030416,1663280
"cohort trace",12,1308,0.0639999999976283,1677104
"cohort trace",12,1320,0.0589999999987924,1690928
"cohort trace",17,12,0.0259999999990668,703792
"cohort trace",17,24,0.0229999999993424,731536
"cohort trace",17,36,0.023999999997568,759280
"cohort trace",17,48,0.0260000000004766,787024
"cohort trace",17,60,0.0330000000002428,814768
"cohort trace",17,72,0.0360000000016328,842512
"cohort trace",17,84,0.0319999999986351,870256
"cohort trace",17,96,0.0379999999984022,898000
"cohort trace",17,108,0.0360000000014224,925744
"cohort trace",17,120,0.0420000000026505,953488
"cohort trace",17,132,0.0369999999990853,981232
"cohort trace",17,144,0.0500000000006424,1008976
"cohort trace",17,156,0.0500000000044338,1036720
"cohort trace",17,168,0.0490000000005978,1064464
"cohort trace",17,180,0.047000000001276,1092208
"cohort trace",17,192,0.0500000000037119,1119952
"cohort trace",17,204,0.05199999999939,1147696
"cohort trace",17,216,0.0549999999987051,1175440
"cohort trace",17,228,0.0590000000008161,1203184
"cohort trace",17,240,0.0610000000019511,1230928
"cohort trace",17,252,0.065000000003289,1258672
"cohort trace",17,264,0.067000000001309,1286416
"cohort trace",17,276,0.0609999999999275,1314160
"cohort trace",17,288,0.0629999999996073,1341904
"cohort trace",17,300,0.0739999999988925,1369648
"cohort trace",17,312,0.0730000000023267,1397392
"cohort trace",17,324,0.0780000000015264,1425136
"cohort trace",17,336,0.078000000002254,1452880
"cohort trace",17,348,0.0800000000015757,1480624
"cohort trace",17,360,0.0809999999990282,1508368
"cohort trace",17,372,0.0829999999992708,1536112
"cohort trace",17,384,0.0820000000012499,1563856
"cohort trace",17,396,0.0900000000014245,1591600
"cohort trace",17,408,0.0840000000012936,1619344
"cohort trace",17,420,0.088999999999561,1647088
"cohort trace",17,432,0.0939999999996531,1674832
"cohort trace",17,444,0.0920000000027187,1702576
"cohort trace",17,456,0.100999999997276,1730320
"cohort trace",17,468,0.0969999999995366,1758064
"cohort trace",17,480,0.100999999998169,1785808
"cohort trace",17,492,0.101999999999822,1813552
"cohort trace",17,504,0.103999999998939,1841296
"cohort trace",17,516,0.111999999999796,1869040
"cohort trace",17,528,0.112000000000887,1896784
"cohort trace",17,540,0.111999999998545,1924528
"cohort trace",17,552,0.112000000000199,1952272
